,Person ID,First name,Last name,Party,Constituency,URI
72,25850,Anthony,Browne,Conservative,South Cambridgeshire,https://www.theyworkforyou.com/mp/25850/anthony_browne/south_cambridgeshire
73,24857,Fiona,Bruce,Conservative,Congleton,https://www.theyworkforyou.com/mp/24857/fiona_bruce/congleton
74,10761,Chris,Bryant,Labour,Rhondda,https://www.theyworkforyou.com/mp/10761/chris_bryant/rhondda
75,25891,Felicity,Buchan,Conservative,Kensington,https://www.theyworkforyou.com/mp/25891/felicity_buchan/kensington
76,10075,Karen,Buck,Labour,Westminster North,https://www.theyworkforyou.com/mp/10075/karen_buck/westminster_north
77,24843,Robert,Buckland,Conservative,South Swindon,https://www.theyworkforyou.com/mp/24843/robert_buckland/south_swindon
78,25659,Alex,Burghart,Conservative,Brentwood and Ongar,https://www.theyworkforyou.com/mp/25659/alex_burghart/brentwood_and_ongar
79,25391,Richard,Burgon,Labour,Leeds East,https://www.theyworkforyou.com/mp/25391/richard_burgon/leeds_east
80,24780,Conor,Burns,Conservative,Bournemouth West,https://www.theyworkforyou.com/mp/24780/conor_burns/bournemouth_west
81,11447,Dawn,Butler,Labour,Brent Central,https://www.theyworkforyou.com/mp/11447/dawn_butler/brent_central
82,25895,Rob,Butler,Conservative,Aylesbury,https://www.theyworkforyou.com/mp/25895/rob_butler/aylesbury
83,25816,Ian,Byrne,Labour,"Liverpool, West Derby",https://www.theyworkforyou.com/mp/25816/ian_byrne/liverpool%2C_west_derby
84,11360,Liam,Byrne,Labour,"Birmingham, Hodge Hill",https://www.theyworkforyou.com/mp/11360/liam_byrne/birmingham%2C_hodge_hill
85,25343,Ruth,Cadbury,Labour,Brentford and Isleworth,https://www.theyworkforyou.com/mp/25343/ruth_cadbury/brentford_and_isleworth
86,24740,Alun,Cairns,Conservative,Vale of Glamorgan,https://www.theyworkforyou.com/mp/24740/alun_cairns/vale_of_glamorgan
87,25863,Amy,Callaghan,Scottish National Party,East Dunbartonshire,https://www.theyworkforyou.com/mp/25863/amy_callaghan/east_dunbartonshire
88,25276,Lisa,Cameron,Scottish National Party,"East Kilbride, Strathaven and Lesmahagow",https://www.theyworkforyou.com/mp/25276/lisa_cameron/east_kilbride%2C_strathaven_and_lesmahagow
89,10086,Alan,Campbell,Labour,Tynemouth,https://www.theyworkforyou.com/mp/10086/alan_campbell/tynemouth
90,10780,Gregory,Campbell,DUP,East Londonderry,https://www.theyworkforyou.com/mp/10780/gregory_campbell/east_londonderry
91,25642,Dan,Carden,Labour,"Liverpool, Walton",https://www.theyworkforyou.com/mp/25642/dan_carden/liverpool%2C_walton
92,10785,Alistair,Carmichael,Liberal Democrat,Orkney and Shetland,https://www.theyworkforyou.com/mp/10785/alistair_carmichael/orkney_and_shetland
93,25884,Andy,Carter,Conservative,Warrington South,https://www.theyworkforyou.com/mp/25884/andy_carter/warrington_south
94,25414,James,Cartlidge,Conservative,South Suffolk,https://www.theyworkforyou.com/mp/25414/james_cartlidge/south_suffolk
95,10095,Bill,Cash,Conservative,Stone,https://www.theyworkforyou.com/mp/10095/bill_cash/stone
96,25897,Miriam,Cates,Conservative,Penistone and Stocksbridge,https://www.theyworkforyou.com/mp/25897/miriam_cates/penistone_and_stocksbridge
97,25397,Maria,Caulfield,Conservative,Lewes,https://www.theyworkforyou.com/mp/25397/maria_caulfield/lewes
98,25340,Alex,Chalk,Conservative,Cheltenham,https://www.theyworkforyou.com/mp/25340/alex_chalk/cheltenham
99,25872,Wendy,Chamberlain,Liberal Democrat,North East Fife,https://www.theyworkforyou.com/mp/25872/wendy_chamberlain/north_east_fife
100,25168,Sarah,Champion,Labour,Rotherham,https://www.theyworkforyou.com/mp/25168/sarah_champion/rotherham
101,25305,Douglas,Chapman,Scottish National Party,Dunfermline and West Fife,https://www.theyworkforyou.com/mp/25305/douglas_chapman/dunfermline_and_west_fife
102,25676,Bambos,Charalambous,Labour,"Enfield, Southgate",https://www.theyworkforyou.com/mp/25676/bambos_charalambous/enfield%2C_southgate
103,25404,Joanna,Cherry,Scottish National Party,Edinburgh South West,https://www.theyworkforyou.com/mp/25404/joanna_cherry/edinburgh_south_west
104,24920,Rehman,Chishti,Conservative,Gillingham and Rainham,https://www.theyworkforyou.com/mp/24920/rehman_chishti/gillingham_and_rainham
105,10103,Christopher,Chope,Conservative,Christchurch,https://www.theyworkforyou.com/mp/10103/christopher_chope/christchurch
106,25408,Jo,Churchill,Conservative,Bury St Edmunds,https://www.theyworkforyou.com/mp/25408/jo_churchill/bury_st_edmunds
107,25896,Feryal,Clark,Labour,Enfield North,https://www.theyworkforyou.com/mp/25896/feryal_clark/enfield_north
108,11884,Greg,Clark,Conservative,Tunbridge Wells,https://www.theyworkforyou.com/mp/11884/greg_clark/tunbridge_wells
109,25657,Simon,Clarke,Conservative,Middlesbrough South and East Cleveland,https://www.theyworkforyou.com/mp/25657/simon_clarke/middlesbrough_south_and_east_cleveland
110,25900,Theo,Clarke,Conservative,Stafford,https://www.theyworkforyou.com/mp/25900/theo_clarke/stafford
111,25862,Brendan,Clarke-Smith,Conservative,Bassetlaw,https://www.theyworkforyou.com/mp/25862/brendan_clarke-smith/bassetlaw
112,25825,Chris,Clarkson,Conservative,Heywood and Middleton,https://www.theyworkforyou.com/mp/25825/chris_clarkson/heywood_and_middleton
113,25376,James,Cleverly,Conservative,Braintree,https://www.theyworkforyou.com/mp/25376/james_cleverly/braintree
114,10119,Geoffrey,Clifton-Brown,Conservative,The Cotswolds,https://www.theyworkforyou.com/mp/10119/geoffrey_clifton-brown/the_cotswolds
115,24771,Therese,Coffey,Conservative,Suffolk Coastal,https://www.theyworkforyou.com/mp/24771/therese_coffey/suffolk_coastal
116,25907,Elliot,Colburn,Conservative,Carshalton and Wallington,https://www.theyworkforyou.com/mp/25907/elliot_colburn/carshalton_and_wallington
117,24744,Damian,Collins,Conservative,Folkestone and Hythe,https://www.theyworkforyou.com/mp/24744/damian_collins/folkestone_and_hythe
118,25901,Daisy,Cooper,Liberal Democrat,St Albans,https://www.theyworkforyou.com/mp/25901/daisy_cooper/st_albans
119,10131,Yvette,Cooper,Labour,"Normanton, Pontefract and Castleford",https://www.theyworkforyou.com/mp/10131/yvette_cooper/normanton%2C_pontefract_and_castleford
120,10133,Jeremy,Corbyn,Independent,Islington North,https://www.theyworkforyou.com/mp/10133/jeremy_corbyn/islington_north
121,25413,Alberto,Costa,Conservative,South Leicestershire,https://www.theyworkforyou.com/mp/25413/alberto_costa/south_leicestershire
122,25593,Robert,Courts,Conservative,Witney,https://www.theyworkforyou.com/mp/25593/robert_courts/witney
123,25890,Claire,Coutinho,Conservative,East Surrey,https://www.theyworkforyou.com/mp/25890/claire_coutinho/east_surrey
124,25288,Ronnie,Cowan,Scottish National Party,Inverclyde,https://www.theyworkforyou.com/mp/25288/ronnie_cowan/inverclyde
125,11541,Geoffrey,Cox,Conservative,Torridge and West Devon,https://www.theyworkforyou.com/mp/11541/geoffrey_cox/torridge_and_west_devon
126,25326,Neil,Coyle,Labour,Bermondsey and Old Southwark,https://www.theyworkforyou.com/mp/25326/neil_coyle/bermondsey_and_old_southwark
127,11768,Stephen,Crabb,Conservative,Preseli Pembrokeshire,https://www.theyworkforyou.com/mp/11768/stephen_crabb/preseli_pembrokeshire
128,25295,Angela,Crawley,Scottish National Party,Lanark and Hamilton East,https://www.theyworkforyou.com/mp/25295/angela_crawley/lanark_and_hamilton_east
129,24949,Stella,Creasy,Labour/Co-operative,Walthamstow,https://www.theyworkforyou.com/mp/24949/stella_creasy/walthamstow
130,25843,Virginia,Crosbie,Conservative,Ynys Môn,https://www.theyworkforyou.com/mp/25843/virginia_crosbie/ynys_mon
131,24871,Tracey,Crouch,Conservative,Chatham and Aylesford,https://www.theyworkforyou.com/mp/24871/tracey_crouch/chatham_and_aylesford
132,10828,Jon,Cruddas,Labour,Dagenham and Rainham,https://www.theyworkforyou.com/mp/10828/jon_cruddas/dagenham_and_rainham
133,10143,John,Cryer,Labour,Leyton and Wanstead,https://www.theyworkforyou.com/mp/10143/john_cryer/leyton_and_wanstead
134,25393,Judith,Cummins,Labour,Bradford South,https://www.theyworkforyou.com/mp/25393/judith_cummins/bradford_south
135,24742,Alex,Cunningham,Labour,Stockton North,https://www.theyworkforyou.com/mp/24742/alex_cunningham/stockton_north
136,25727,Janet,Daby,Labour,Lewisham East,https://www.theyworkforyou.com/mp/25727/janet_daby/lewisham_east
137,25905,James,Daly,Conservative,Bury North,https://www.theyworkforyou.com/mp/25905/james_daly/bury_north
138,10155,Edward,Davey,Liberal Democrat,Kingston and Surbiton,https://www.theyworkforyou.com/mp/10155/edward_davey/kingston_and_surbiton
139,10842,Wayne,David,Labour,Caerphilly,https://www.theyworkforyou.com/mp/10842/wayne_david/caerphilly
140,11719,David,Davies,Conservative,Monmouth,https://www.theyworkforyou.com/mp/11719/david_davies/monmouth
141,25858,Gareth,Davies,Conservative,Grantham and Stamford,https://www.theyworkforyou.com/mp/25858/gareth_davies/grantham_and_stamford
142,10159,Geraint,Davies,Labour,Swansea West,https://www.theyworkforyou.com/mp/10159/geraint_davies/swansea_west
143,25292,James,Davies,Conservative,Vale of Clwyd,https://www.theyworkforyou.com/mp/25292/james_davies/vale_of_clwyd
144,25330,Mims,Davies,Conservative,Mid Sussex,https://www.theyworkforyou.com/mp/25330/mims_davies/mid_sussex
145,11816,Philip,Davies,Conservative,Shipley,https://www.theyworkforyou.com/mp/11816/philip_davies/shipley
146,25824,Alex,Davies-Jones,Labour,Pontypridd,https://www.theyworkforyou.com/mp/25824/alex_davies-jones/pontypridd
147,10162,David,Davis,Conservative,Haltemprice and Howden,https://www.theyworkforyou.com/mp/10162/david_davis/haltemprice_and_howden
