Constituency,First name,Last name,Flink
Stevenage,Stephen,McPartland,https://facebook.com/StephenMcPartland
Tatton,Esther,McVey,
Gateshead,Ian,Mearns,
Fylde,Mark,Menzies,https://facebook.com/fyldeca
"Plymouth, Moor View",Johnny,Mercer,https://facebook.com/JohnnyForPlymouth
Bexhill and Battle,Huw,Merriman,https://facebook.com/Huw-Merriman-324862291035860
South Basildon and East Thurrock,Stephen,Metcalfe,https://facebook.com/StephenMetcalfe4SBET
Doncaster North,Ed,Miliband,https://facebook.com/edmiliband
Aberconwy,Robin,Millar,
Basingstoke,Maria,Miller,https://facebook.com/mariamilleruk
Cannock Chase,Amanda,Milling,https://facebook.com/amanda.milling
Amber Valley,Nigel,Mills,https://facebook.com/nigelmillsmp
Stockport,Navendu,Mishra,
Sutton Coldfield,Andrew,Mitchell,
South West Hertfordshire,Gagan,Mohindra,
Mid Ulster,Francie,Molloy,
Glasgow North West,Carol,Monaghan,https://facebook.com/CarolMonaghanSNP
Southport,Damien,Moore,https://facebook.com/damienmooremp
Keighley,Robbie,Moore,
Oxford West and Abingdon,Layla,Moran,https://facebook.com/LaylaMoranUK
Portsmouth North,Penny,Mordaunt,https://facebook.com/PortsmouthConservatives
Newport East,Jessica,Morden,https://facebook.com/JessicaMorden4NewportEast
North Shropshire,Helen,Morgan,
Portsmouth South,Stephen,Morgan,https://facebook.com/StephenMorganMP
Newton Abbot,Anne Marie,Morris,https://facebook.com/annemarie.morris.NA
Morecambe and Lunesdale,David,Morris,https://facebook.com/davidmorrisml
Easington,Grahame,Morris,https://facebook.com/grahame.morris
Halesowen and Rowley Regis,James,Morris,https://facebook.com/JamesMorrisHRR
Beaconsfield,Joy,Morrissey,
Hartlepool,Jill,Mortimer,
Aldridge-Brownhills,Wendy,Morton,https://facebook.com/morton.wendy
Crewe and Nantwich,Kieran,Mullan,
Scunthorpe,Holly,Mumby-Croft,
"Dumfriesshire, Clydesdale and Tweeddale",David,Mundell,https://facebook.com/DavidMundellMP
Edinburgh South,Ian,Murray,https://facebook.com/IanMurrayMP
Ealing North,James,Murray,
South East Cornwall,Sheryll,Murray,https://facebook.com/sheryllmurrayuk
South West Wiltshire,Andrew,Murrison,https://facebook.com/andrew.murrison
Wigan,Lisa,Nandy,https://facebook.com/Lisa-Nandy-194243072092
Bromley and Chislehurst,Bob,Neill,
Paisley and Renfrewshire North,Gavin,Newlands,https://facebook.com/gavinnewlandsmp
Warrington North,Charlotte,Nichols,
Great Grimsby,Lia,Nici,
Ochil and South Perthshire,John,Nicolson,https://www.facebook.com/JohnNicolsonSNP/
Romsey and Southampton North,Caroline,Nokes,https://facebook.com/carolinenokes4RSN
Hereford and South Herefordshire,Jesse,Norman,https://facebook.com/jesse.norman.hereford
Nottingham North,Alex,Norris,
Harborough,Neil,O'Brien,https://facebook.com/neil4harborough
Argyll and Bute,Brendan,O'Hara,https://facebook.com/BrendanOHaraSNP
